Symbol	GSM452235	GSM452236	GSM452237	GSM452238	GSM452239	GSM452240	GSM452241	GSM452242	GSM452243	GSM452246	GSM452247	GSM452248	GSM452250	GSM452251	GSM452252	GSM452253	GSM452254	GSM452255	GSM452256	GSM452257	GSM452258	GSM452259	GSM452260
AHNAK	8.55057	4.80636	8.17119	2.68977	33.6294	8.64353	23.6976	3.97334	8.41168	4.10741	12.1675	5.17409	6.72517	5.97252	7.72033	6.65263	18.9111	12.2332	8.45273	7.25784	12.6011	5.7965	31.22
CCDC40	2.8309	3.53842	20.0586	21.4427	11.7347	23.3014	10.2784	15.5175	14.8614	17.6852	31.1201	30.1748	13.4234	29.9366	49.2682	24.5548	22.8596	15.5784	35.3847	4.74299	16.9457	21.8707	37.5889
INPP5B	9.13593	3.37477	2.09621	2.3439	3.31996	1.96075	5.621	1.72536	1.69598	2.15578	2.00975	10.3726	9.33913	7.88941	6.30274	1.41838	5.40597	1.40042	6.98415	2.88344	2.10948	4.38099	2.79529
CDH4	19.6307	15.0527	19.3722	5.67468	9.53544	31.4849	6.40081	17.7739	6.74645	13.8592	19.1191	20.7296	17.3722	21.8414	13.9027	22.6696	21.212	8.76977	21.2725	9.84926	31.2889	21.997	16.2705
RUNX1	3.55751	1.56555	0.959106	12.6383	2.27954	3.66837	13.0739	0.339032	5.1477	3.7873	1.3946	4.35384	7.51366	1.1775	2.88017	0.66984	17.7612	0.700135	2.65182	6.33818	14.9267	18.2076	1.20349
SRGAP3	3.10667	1.82973	2.00235	2.28967	25.1989	1.85288	0.965401	6.15993	1.23877	1.50921	4.68196	3.96889	6.53413	1.18985	6.69607	13.4119	2.38469	1.36687	31.6768	27.2801	1.70529	5.69224	2.05648
KCNT1	11.1088	10.3472	1.70868	8.8431	5.69292	5.89786	3.80001	24.1152	2.68038	1.95383	6.4499	1.60491	17.9972	3.67662	3.18868	1.94204	10.1173	2.80702	11.6069	25.0326	14.976	2.88173	5.10325
BTRC	9.58984	10.7431	22.5899	3.17879	1.11217	22.6333	16.0096	1.78316	10.1702	1.96967	10.444	14.6124	1.27672	22.1312	0.523314	3.40526	9.67863	12.2563	39.4876	17.0838	21.4871	2.558	6.08561
TVP23A	8.0991	25.8026	6.68494	15.663	21.0357	26.3494	22.5266	21.9548	3.50652	12.0958	13.8103	18.8937	23.2025	16.5485	10.2079	10.3992	33.6095	5.17024	34.5525	14.1745	27.6418	4.9555	5.77644
SNX20	311.316	262.449	255.694	226.975	212.407	185.811	190.506	185.628	203.829	163.406	214.164	226.257	248.168	185.326	150.564	221.148	213.483	234.795	279.571	160.959	213.969	190.179	277.969
TNNT2	7.20787	4.81468	3.01747	7.28233	7.12913	4.55109	5.43118	4.13324	3.92845	6.19204	4.93714	4.58569	8.83221	3.5325	7.0318	5.0244	3.51899	4.31361	4.81391	4.67281	5.54857	6.40323	5.6433
