Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
OXCT2	NA	0.013	-1.83	NA	0.2	0.616	10.388	1.578	-0.614	1.137	-0.309	-0.684	1.58	0.773	1.828	1.267	0.676	-0.297	0.73	-0.789
OXR1	-0.604	-1.052	-0.023	-1.998	0.02	1.859	-1.235	0.904	-1.665	-0.467	-0.128	-1.073	1.037	0.973	0.354	0.56	-0.53	1.754	0.215	0.71
OXSM	0.79	-0.148	-1.506	-0.605	-1.138	1.135	-1.183	-0.153	-1.707	-0.569	-0.244	-1.443	1.348	0.477	0.114	0.339	1.07	1.786	-0.33	-0.724
OXSR1	-1.474	-1.295	-0.528	-2.173	-2.049	-1.89	-2.56	-1.185	-1.161	-1.573	-0.442	-1.395	-1.066	-0.791	-0.912	-1.779	-1.097	-0.651	-0.707	-0.241
OXTR	-0.141	-0.558	-1.389	-0.709	1.726	-0.15	4.743	-1.494	-0.706	-0.219	NA	0.505	0.376	0.118	0.224	3.473	2.536	-0.012	-0.977	-0.147
P2RX1	1.972	1.664	1.965	0.717	2.375	3.923	2.059	1.641	2.127	4.543	3.28	3.498	4.205	3.56	4.518	4.129	NA	3.325	4.213	4.127
P2RX4	1.472	0.715	1.379	0.361	2.313	1.395	-0.885	2.059	1.748	2.026	1.882	1.995	1.681	1.815	3.032	1.003	0.911	1.557	2.228	1.925
P2RX5	0.042	0.556	1.741	0.247	0.894	2.755	0.163	2.027	-0.819	1.113	1.527	0.986	2.932	2.102	1.329	1.533	1.569	3.314	1.56	1.5
P2RX6	-2.312	-1.123	-0.623	0.084	-0.229	-1.607	1.406	-3.101	-0.77	-1.367	NA	-1.709	-1.569	-1.45	-1.385	-1.877	-1.287	-1.465	-1.094	-1.32
P2RY10	2.674	2.579	1.301	-0.315	NA	NA	3.747	NA	5.434	NA	NA	2.504	NA	3.445	5.431	NA	3.683	1.331	NA	NA
P2RY13	6.028	6.099	6.232	3.232	6.655	3.214	NA	2.107	4.076	5.244	4.495	7.607	3.982	4.091	4.47	4.916	3.581	5.478	4.471	5.955
P2RY14	4.54	3.256	3.454	2.32	3.68	1.223	0.591	-0.042	2.406	1.018	2.548	1.236	1.283	1.829	1.034	0.174	-0.241	2.37	3.068	1.155
P2RY2	-0.516	-0.612	-0.434	-1.004	1.841	0.498	1.479	-0.183	1.041	1.373	2.268	0.341	0.822	1.689	1.089	1.314	-1.426	1.638	1.143	0.785
P2RY6	1.176	-0.564	0.874	-0.019	0.602	-1.378	1.378	-0.239	0.496	1.514	0.96	1.082	-0.065	0.009	0.836	1	1.779	0.865	1.668	0.066
P2RY8	-0.224	0.506	0.184	2.596	-1.43	0.301	NA	-0.553	-4.268	-0.975	-0.928	1.105	6.059	-1.328	-0.22	5.699	-0.316	-1.148	-0.264	-0.197
P4HA1	4.781	NA	1.917	NA	0.673	2.199	-1.256	NA	3.346	NA	3.866	NA	2.604	3.888	2.077	3.11	1.673	5.832	1.475	1.532
